source,target
935,653
948,938
765,724
550,857
617,518
776,580
671,526
642,616
593,943
855,933
771,750
741,951
567,794
618,646
954,557
570,611
674,689
567,944
733,849
847,661
738,925
842,582
937,974
817,730
846,589
612,961
896,996
862,644
978,598
972,637
855,921
572,937
539,586
985,962
949,501
620,784
844,585
843,931
707,680
938,967
589,681
763,760
686,839
854,811
501,504
601,879
911,776
649,905
846,628
866,986
638,889
570,708
806,815
758,811
763,522
882,782
651,963
570,763
938,768
961,504
540,833
500,934
646,810
856,639
567,784
573,821
544,947
991,669
816,738
924,506
561,614
539,756
707,905
894,731
562,921
812,584
644,619
669,998
540,946
628,934
782,517
851,511
843,968
683,531
731,523
961,852
619,570
731,518
661,840
938,696
538,870
658,599
735,865
617,692
786,660
695,754
963,943
828,857
856,665
846,896
860,804
968,675
589,695
835,638
715,799
594,812
567,710
531,698
923,848
849,667
780,984
579,527
795,933
593,830
933,900
943,619
761,662
933,802
633,772
579,887
627,645
860,500
996,675
673,768
818,770
611,657
978,853
904,769
770,559
677,709
618,785
833,514
638,643
727,886
686,549
860,571
775,884
885,817
837,933
844,603
799,952
570,750
674,823
763,850
948,781
853,603
768,870
579,810
948,728
605,804
924,901
961,808
723,788
885,756
535,761
868,634
973,877
727,885
986,561
1000,770
589,994
855,542
966,586
828,959
577,683
619,940
546,849
619,570
677,838
707,543
974,723
691,744
816,553
753,726
978,519
814,902
789,608
917,829
775,894
803,617
799,792
653,987
669,556
511,764
785,581
670,655
548,615
761,616
683,619
760,672
827,579
531,644
695,795
527,875
766,734
925,525
647,540
887,732
613,777
941,831
700,815
670,706
683,699
844,716
564,873
738,719
840,549
978,713
771,712
671,642
677,822
564,640
559,728
652,938
582,898
691,704
824,735
763,503
591,754
630,502
814,895
992,525
918,592
825,525
927,811
742,552
917,734
896,906
570,822
620,878
924,745
612,747
814,895
787,659
720,649
781,517
939,988
957,832
524,905
649,734
877,636
776,946
788,947
806,889
674,864
795,516
697,652
801,750
656,660
556,794
710,742
650,933
853,501
803,590
668,739
589,691
528,869
656,643
544,771
995,549
761,932
870,968
623,588
771,657
613,618
860,911
877,967
516,889
801,680
876,644
844,533
645,577
816,849
580,980
816,609
882,950
581,588
828,731
501,954
911,999
627,620
654,793
818,746
753,573
948,868
671,551
656,816
814,663
735,717
677,531
930,749
544,851
564,816
948,663
565,531
554,620
877,532
598,579
511,997
694,948
943,826
970,708
927,578
783,924
824,620
894,923
654,599
825,981
978,653
535,725
790,913
613,817
894,568
924,553
677,885
930,832
918,757
696,708
844,606
588,691
860,872
966,584
935,625
942,731
765,688
538,996
765,512
565,897
844,620
820,612
651,673
844,750
862,530
837,516
831,525
612,542
782,754
828,854
651,839
737,966
583,778
886,637
978,909
562,920
727,631
978,866
670,981
771,879
854,735
613,756
908,968
501,542
864,901
752,807
559,947
655,922
995,828
574,664
583,726
879,509
828,508
933,524
686,870
551,945
849,635
570,665
670,695
855,877
771,812
655,620
990,894
799,595
950,909
567,738
940,659
529,888
915,656
949,644
771,806
953,971
502,944
728,710
642,708
687,521
888,866
833,672
788,540
737,552
617,900
695,844
915,932
776,747
842,736
943,523
870,551
972,790
879,665
728,902
917,626
573,873
927,831
948,876
934,977
755,788
990,742
907,614
782,994
644,625
900,825
511,623
717,929
619,709
978,913
828,622
933,563
674,845
775,985
595,567
603,887
775,739
800,813
655,738
622,912
978,561
550,809
653,764
687,969
674,525
968,519
768,816
820,556
524,948
652,845
866,553
842,932
605,855
542,555
871,614
618,968
980,948
790,894
842,817
772,692
622,983
933,795
895,549
866,852
652,892
958,732
917,946
639,556
712,895
542,516
816,974
658,787
765,557
738,581
673,596
825,781
655,961
948,606
530,670
753,851
727,552
950,767
687,882
660,658
954,634
849,602
579,740
876,750
963,675
829,799
844,587
619,875
846,581
501,693
974,986
851,605
591,667
965,881
778,542
957,520
935,655
738,741
915,944
900,791
638,687
790,787
524,862
877,562
540,988
943,781
961,685
593,614
670,675
781,987
849,951
974,854
