source,target
834,792
897,786
607,855
893,845
978,859
509,836
701,832
550,834
994,889
720,732
853,569
927,778
831,854
674,862
880,973
776,903
619,807
517,844
653,878
720,865
757,961
860,629
583,673
853,675
678,793
771,672
804,529
907,804
768,917
811,970
900,533
868,945
617,725
519,597
913,852
915,827
994,704
949,511
620,696
893,920
814,949
559,774
900,847
985,648
903,855
596,921
651,664
547,769
875,925
811,683
724,737
994,904
555,782
806,620
978,518
560,939
950,597
653,809
755,882
714,946
638,755
579,855
649,590
886,981
543,856
562,858
543,618
609,824
715,793
803,759
915,638
990,505
736,534
767,629
896,898
806,544
739,780
655,807
989,656
970,643
811,778
878,749
576,552
884,603
817,653
574,757
951,829
900,918
771,682
755,653
742,844
852,909
960,925
922,951
651,864
682,787
560,819
504,638
801,685
773,792
715,571
692,896
832,567
834,582
500,870
978,574
892,949
897,528
831,548
854,626
960,813
848,509
784,826
500,791
731,548
715,917
866,844
881,631
843,696
913,908
733,874
546,530
637,682
878,851
698,530
599,762
834,750
776,685
619,635
936,813
519,693
931,884
967,628
523,804
713,777
976,709
838,748
767,810
716,521
985,631
936,631
550,606
805,932
560,952
888,800
817,592
614,770
602,964
716,831
837,562
601,694
517,514
836,841
936,547
624,865
593,543
792,859
557,600
937,801
832,796
747,799
990,848
734,516
752,514
676,690
692,944
604,662
619,558
609,586
596,627
660,834
653,627
649,648
764,854
691,535
723,633
646,653
707,541
607,854
994,646
715,720
900,678
776,648
837,716
775,906
831,905
605,782
660,979
737,998
578,737
771,693
601,800
624,672
776,854
530,507
559,861
756,785
1000,827
960,529
988,533
859,839
694,775
861,815
599,640
837,886
510,867
701,662
755,926
619,657
776,777
601,837
897,847
568,886
854,761
784,783
976,922
861,591
887,832
776,905
596,737
609,763
798,919
978,533
568,796
967,779
792,608
715,841
507,706
756,873
897,647
740,835
801,726
740,654
637,790
537,513
653,757
920,702
743,628
555,524
962,601
713,875
606,993
677,815
876,620
868,746
538,974
903,788
670,730
587,907
798,714
682,678
590,521
678,994
851,962
590,550
924,735
784,890
637,607
674,731
927,713
558,990
851,983
603,504
854,570
615,500
776,625
883,708
588,920
508,990
957,796
957,959
990,944
902,749
728,563
532,788
850,967
751,995
964,622
659,930
871,658
603,632
919,745
931,521
981,990
703,599
577,990
769,724
933,569
628,561
785,912
500,707
826,631
583,686
585,637
900,849
692,917
907,563
698,855
523,547
709,576
538,510
579,602
860,508
885,891
653,610
768,911
798,672
668,631
892,864
585,958
505,907
755,617
703,547
738,889
649,734
679,758
728,786
565,684
832,782
740,568
887,585
532,970
734,972
614,528
804,799
698,793
937,630
837,969
603,762
577,914
543,656
931,756
798,907
653,756
887,568
817,669
617,814
772,639
543,606
509,975
852,888
848,993
916,525
798,942
861,750
714,948
708,913
679,808
596,587
734,983
611,569
776,721
716,830
601,697
970,919
757,979
513,758
832,563
649,750
817,670
692,950
625,770
803,872
811,992
853,970
897,730
978,638
703,979
555,753
768,969
907,765
585,726
950,519
516,955
775,619
933,658
978,654
962,678
764,697
895,927
803,618
692,831
886,696
868,800
860,668
708,515
920,871
538,512
728,955
606,958
784,611
555,923
861,622
978,720
773,812
550,659
655,634
916,965
957,827
764,834
981,710
587,934
820,836
607,550
561,782
611,760
940,546
871,937
500,965
928,656
888,982
649,792
952,803
740,628
792,656
507,657
589,783
590,945
798,640
772,603
670,599
500,625
625,574
982,596
606,956
562,748
694,717
723,660
600,560
768,787
513,748
831,501
775,772
597,825
980,633
740,792
776,501
604,929
634,794
876,784
504,790
591,546
990,505
769,603
903,761
924,826
708,774
637,683
511,746
590,689
510,735
602,514
703,540
988,651
715,660
723,713
986,788
850,926
756,774
615,829
811,676
875,825
957,714
883,844
883,880
677,985
591,720
691,857
897,964
674,821
811,708
723,645
604,686
950,620
802,907
559,869
975,555
843,662
952,639
771,972
915,930
975,627
660,885
655,887
905,662
831,759
715,971
897,755
878,662
711,703
878,677
516,677
986,614
691,875
601,968
586,607
538,986
638,971
985,734
