source,target
847,789
510,824
868,743
883,927
502,584
890,634
569,889
835,593
916,994
576,890
893,558
604,811
556,688
530,931
592,743
580,777
932,520
529,772
515,912
909,899
578,977
649,561
661,784
639,503
718,829
581,520
668,569
895,944
689,605
727,788
845,693
939,719
846,928
727,761
756,866
588,507
935,977
639,929
857,861
835,950
677,871
750,630
667,716
952,737
715,658
975,998
982,823
766,906
806,963
799,911
836,671
850,993
578,800
868,683
753,616
588,877
642,680
920,521
704,634
846,988
710,643
894,673
845,909
554,697
846,903
826,729
800,705
620,832
927,811
512,833
794,562
592,710
995,896
916,569
718,913
968,723
975,924
897,948
792,888
904,721
812,506
598,981
768,533
529,827
650,615
814,912
597,647
837,574
714,999
576,903
945,747
570,969
612,543
668,560
844,963
636,934
832,801
730,856
713,925
788,999
774,675
972,945
951,545
869,534
583,585
928,566
667,673
516,877
578,635
759,699
577,773
571,981
698,832
513,855
959,893
883,800
857,926
761,912
844,881
641,949
796,542
646,636
570,555
529,921
703,959
697,648
850,751
597,842
623,829
635,659
885,852
650,892
592,845
931,771
649,542
570,997
921,919
775,536
966,967
640,871
613,657
942,564
515,874
999,695
833,713
622,685
875,619
825,884
778,692
916,782
597,709
951,535
833,812
625,974
766,970
986,991
711,553
641,982
530,650
951,819
712,872
894,979
556,956
978,627
614,679
814,635
766,805
811,523
540,539
828,635
663,539
626,591
662,895
692,691
650,885
882,793
966,572
715,619
925,961
709,547
749,686
502,918
774,697
512,944
820,750
612,869
846,696
999,714
890,935
514,910
884,867
602,902
909,585
647,773
975,804
642,874
694,797
720,520
613,811
693,791
885,912
520,888
667,788
710,981
935,555
952,993
847,711
938,744
515,785
920,707
759,704
663,870
847,898
869,991
832,589
666,741
572,737
833,794
716,654
693,938
570,681
742,953
966,712
663,855
659,721
942,647
711,592
846,913
570,884
916,859
775,799
966,779
668,884
925,987
733,533
930,592
719,518
528,834
761,969
552,705
931,861
529,572
668,843
942,813
768,574
762,870
786,671
931,531
707,896
954,722
668,751
771,557
939,1000
941,639
935,663
887,619
512,884
693,804
933,547
926,621
716,978
503,563
534,882
602,764
750,655
593,985
801,884
588,874
850,633
720,514
832,728
697,630
775,927
892,576
693,915
677,581
814,930
602,685
687,950
836,763
634,802
830,953
895,962
663,658
602,554
594,925
933,742
771,892
602,965
791,535
649,540
972,755
645,878
935,835
749,837
598,964
512,849
794,1000
887,530
692,793
875,588
855,580
895,540
577,747
795,862
761,922
951,638
521,753
825,589
868,909
883,509
761,799
667,899
692,702
602,831
834,767
846,666
745,560
850,926
820,821
845,535
649,662
826,982
749,942
995,647
710,529
822,728
697,778
583,977
622,905
637,607
681,646
954,958
876,588
857,743
766,673
550,721
757,950
584,648
745,538
626,533
895,720
985,648
685,871
571,717
502,859
775,566
619,699
985,748
825,852
530,833
877,802
617,901
836,883
923,620
654,690
885,993
887,680
836,511
558,653
502,761
503,939
697,609
622,959
619,969
826,568
834,805
598,667
675,965
580,636
759,653
661,500
876,696
820,651
930,734
794,584
747,800
820,840
599,685
608,776
768,515
935,820
635,954
513,995
762,960
675,927
846,820
645,549
992,939
641,868
778,993
991,607
634,872
995,817
775,866
951,606
713,798
934,616
719,928
786,695
846,680
667,512
598,644
587,535
974,945
794,614
583,507
828,672
642,566
685,539
627,793
513,524
516,721
868,803
790,722
578,949
667,716
645,820
558,626
697,781
764,847
784,893
528,929
799,699
720,559
916,573
570,621
545,701
720,552
882,776
613,782
930,562
946,741
705,902
928,720
622,777
627,735
850,584
901,679
941,879
896,588
766,755
991,566
753,905
709,873
868,952
792,789
626,630
650,574
814,561
882,993
728,912
718,674
923,725
931,670
923,765
939,743
690,697
857,702
667,702
870,622
792,584
744,899
571,746
885,899
860,830
694,940
545,821
850,510
785,802
545,874
613,612
747,982
846,572
859,700
874,717
512,764
571,791
699,629
710,911
748,755
705,545
622,542
754,611
612,831
668,837
951,572
726,707
901,506
995,520
667,504
622,701
598,885
583,889
531,552
562,989
588,583
750,988
951,939
