source,target
514,908
773,830
781,714
834,543
557,527
912,848
685,881
882,992
520,895
933,781
632,627
512,920
853,723
832,751
630,720
962,574
518,947
813,549
550,973
888,794
641,518
921,762
607,949
726,780
531,818
709,557
938,650
703,669
812,811
516,790
830,661
890,807
973,848
500,846
890,949
699,941
952,987
627,914
755,751
979,884
970,909
509,758
668,794
520,742
840,881
905,972
774,800
975,559
909,529
962,518
798,720
797,676
628,800
734,975
918,687
514,771
709,539
940,984
808,730
942,998
852,858
830,690
585,652
548,782
804,826
876,833
676,647
555,948
652,904
862,995
836,716
714,501
662,913
726,804
889,811
509,698
667,967
654,998
934,629
532,552
526,769
587,642
686,669
845,787
977,966
979,580
929,739
562,612
901,974
607,926
882,593
898,556
954,854
768,963
956,710
750,865
586,978
708,768
514,788
668,928
530,854
788,560
921,741
620,665
780,569
569,936
526,958
532,517
713,765
515,964
634,748
659,729
750,774
750,585
702,801
686,724
762,928
599,707
909,724
755,588
888,775
537,630
692,828
569,678
979,796
723,704
887,760
744,679
602,662
813,890
888,814
645,796
744,526
561,590
634,855
686,522
894,769
764,601
971,573
804,666
772,992
999,753
570,974
624,615
712,530
836,842
641,539
600,792
607,683
685,850
716,662
886,944
552,787
623,997
782,528
716,817
974,803
527,745
733,883
890,909
645,509
921,532
800,789
550,977
848,663
898,543
607,939
699,710
892,568
992,839
990,864
898,502
898,774
555,594
520,749
887,899
668,854
944,614
652,851
797,852
746,602
708,781
986,605
716,690
529,969
887,927
669,891
882,767
759,914
510,858
954,987
585,659
695,839
882,631
940,742
938,665
936,544
519,766
685,786
876,536
898,575
962,709
812,996
787,528
730,759
668,895
799,737
771,703
587,569
840,724
520,747
527,753
992,636
715,804
623,646
603,744
925,839
712,930
761,806
819,846
599,895
674,686
768,743
647,534
936,657
676,681
951,958
936,931
901,697
561,624
628,909
662,777
660,978
944,803
804,793
840,665
732,901
742,726
504,658
826,541
951,972
822,506
526,548
674,500
685,737
848,671
535,919
632,714
837,630
746,861
782,941
587,968
851,744
944,563
977,754
712,564
599,875
652,632
762,780
526,500
586,911
942,900
888,961
669,901
723,552
598,542
771,510
864,961
550,712
512,782
681,532
730,847
567,540
548,809
600,598
514,942
952,645
514,691
585,867
829,552
986,594
882,534
605,856
695,544
645,715
821,569
853,879
768,762
647,726
602,954
952,817
504,940
960,607
585,800
816,980
829,901
901,796
990,650
537,930
735,745
888,698
773,964
687,954
523,807
934,500
598,709
666,884
837,687
667,767
662,574
853,535
605,593
578,609
570,746
603,772
845,717
702,838
826,526
645,759
837,555
607,543
864,797
687,757
685,686
849,721
960,849
933,871
861,766
620,892
709,553
883,821
830,968
811,649
783,701
781,554
668,637
822,900
949,605
682,806
598,954
581,931
945,941
876,971
632,989
577,592
948,711
782,608
715,690
535,953
888,896
782,612
864,958
500,654
935,991
954,556
537,654
852,858
808,668
955,813
990,553
586,599
667,530
667,551
916,578
870,541
623,585
668,924
916,507
574,601
860,982
842,756
692,538
780,545
992,802
781,611
772,847
761,972
586,704
734,933
810,830
681,827
800,652
726,897
788,538
758,611
836,626
634,611
702,971
992,625
673,887
550,962
837,701
892,745
829,578
712,624
945,992
829,602
925,836
800,830
552,961
589,982
541,945
786,691
603,901
662,509
980,757
586,621
916,557
920,586
555,890
804,570
864,914
761,908
916,671
527,521
585,566
945,815
687,924
788,945
773,796
890,731
808,674
870,826
920,594
504,694
890,641
971,952
862,636
676,996
782,576
509,561
516,858
607,997
864,945
697,518
905,665
620,581
589,919
971,556
950,901
694,537
946,667
783,582
890,809
812,801
870,795
666,970
744,981
980,738
662,651
925,591
531,893
971,835
668,722
744,768
530,821
699,731
882,648
571,507
772,548
926,610
768,733
744,799
726,539
527,827
660,918
761,609
806,526
620,715
716,908
882,605
938,815
685,734
550,671
814,655
630,952
933,588
688,667
837,782
732,890
973,879
876,905
520,549
762,538
515,578
954,832
627,966
655,991
618,500
597,814
549,668
962,526
746,668
666,639
676,545
951,949
746,764
842,848
682,715
