source,target
900,994
940,876
839,706
757,974
536,955
861,710
607,742
687,597
627,866
968,679
932,741
735,792
725,840
988,588
992,719
680,955
631,738
934,895
659,735
839,996
968,500
575,625
642,589
719,625
880,854
940,747
766,758
733,896
965,961
950,706
950,579
930,713
852,560
978,533
558,827
852,559
927,951
836,705
773,639
643,932
671,565
726,800
937,780
689,695
697,751
827,647
552,678
668,847
538,863
697,767
894,775
659,991
777,826
893,620
644,903
618,943
982,904
713,607
642,764
851,735
718,801
895,804
845,613
529,521
833,655
972,708
615,527
771,877
798,548
893,509
529,672
930,625
950,913
574,915
826,564
740,699
764,936
773,542
920,793
549,737
925,584
979,718
554,677
845,898
509,747
519,652
957,747
957,558
975,501
615,797
957,635
905,585
687,775
768,514
968,509
684,784
648,568
657,995
957,577
904,877
718,707
529,991
814,788
965,715
588,796
764,710
830,665
703,810
880,841
913,640
702,697
525,897
659,731
558,594
647,850
732,825
695,891
576,632
963,549
548,787
958,568
893,716
703,882
877,694
888,641
726,925
928,582
931,722
574,868
667,657
646,673
879,662
735,565
925,737
821,685
663,529
682,530
902,827
687,938
781,924
975,949
662,557
774,990
664,985
643,880
695,656
817,834
692,1000
854,722
865,765
544,599
992,639
575,968
814,789
973,718
860,585
820,585
931,960
620,553
885,880
676,946
976,977
902,529
882,660
666,951
671,926
811,905
774,679
602,900
531,861
659,904
532,558
833,688
932,860
632,923
988,951
520,519
713,678
521,743
992,944
864,632
795,620
678,716
931,896
758,935
699,961
755,885
671,760
507,537
916,980
674,627
548,924
904,630
820,955
860,988
755,624
934,783
601,686
773,578
583,853
732,681
649,634
637,520
910,749
833,505
776,585
821,654
825,615
865,825
758,622
921,981
578,965
775,528
920,914
976,980
583,692
737,907
569,842
777,671
663,860
732,538
774,917
964,559
729,795
777,746
625,900
517,554
607,868
990,779
781,518
567,586
651,897
777,661
865,672
999,943
912,927
961,920
725,509
999,919
975,977
860,791
964,514
617,659
609,947
925,636
518,544
532,675
597,706
821,862
830,747
510,541
554,613
602,831
517,578
826,828
973,704
631,505
854,971
735,743
957,592
536,808
913,743
620,993
643,955
538,501
760,849
931,518
668,542
644,920
781,671
546,981
916,845
540,707
698,611
727,546
750,522
918,919
601,638
970,928
932,782
577,739
915,919
781,715
698,750
687,753
795,871
627,943
522,642
675,801
879,783
632,643
529,764
536,523
915,732
860,795
988,530
706,827
531,802
973,591
565,855
702,991
784,787
631,784
904,962
701,871
567,626
686,825
531,764
846,518
526,502
836,662
899,947
998,610
760,906
957,968
903,959
798,785
881,633
517,846
740,959
725,524
502,528
973,968
923,743
957,688
759,667
529,501
627,802
668,549
972,537
757,654
861,742
798,766
620,726
937,955
725,879
825,933
900,990
682,661
617,576
511,687
868,978
844,894
902,822
785,926
727,844
947,533
518,943
661,905
620,871
532,698
783,851
902,532
990,923
915,721
618,728
859,713
915,682
864,561
757,718
609,645
680,952
860,966
928,655
931,843
620,650
567,869
666,573
695,618
554,512
610,674
764,915
666,942
726,975
978,645
617,921
725,931
931,857
604,737
732,660
598,875
910,566
699,598
860,642
726,768
902,590
602,730
924,641
531,585
904,942
950,591
631,930
817,698
631,518
610,723
558,786
944,845
643,884
963,942
657,842
718,589
833,667
981,675
615,681
502,649
937,652
617,772
836,819
931,504
972,633
816,997
988,613
917,757
992,531
601,927
661,757
944,507
507,565
517,743
676,635
832,788
934,739
640,772
576,760
538,789
564,643
688,521
932,566
647,608
679,712
749,511
632,586
513,937
816,698
604,789
609,516
725,982
667,884
554,915
657,971
784,986
744,854
544,884
735,868
900,817
877,1000
649,743
578,795
982,768
826,832
701,784
719,848
975,799
671,804
725,581
661,669
785,825
732,931
782,817
577,786
785,570
554,586
657,693
737,791
529,592
854,659
846,735
906,815
832,837
529,674
740,873
503,837
569,561
880,678
513,934
919,607
642,998
558,828
520,663
873,741
809,749
937,854
756,748
934,883
621,856
740,968
566,623
569,513
549,668
944,505
905,728
908,832
698,979
877,939
643,775
647,983
786,665
538,934
894,702
