source,target
560,868
913,828
953,807
549,732
643,578
578,808
675,903
965,804
969,518
686,516
795,568
615,851
557,774
830,937
557,670
704,544
951,746
763,568
563,580
965,629
518,554
833,740
683,722
813,502
699,883
866,584
752,712
518,828
549,701
927,681
717,947
521,748
662,786
574,563
849,798
513,670
966,516
574,746
840,503
999,805
649,778
968,586
849,963
524,685
860,749
936,537
969,628
677,568
914,885
905,564
643,596
824,988
705,523
888,880
876,830
827,708
836,894
695,541
815,544
542,767
642,952
801,690
869,704
663,500
825,962
706,527
606,857
728,658
912,617
801,654
662,885
825,796
559,591
682,821
968,806
606,622
719,978
968,713
524,810
670,593
968,857
868,843
541,918
916,706
690,745
563,715
515,939
655,959
662,583
875,940
849,523
827,925
806,906
914,832
953,731
875,753
605,972
567,736
602,638
869,813
980,534
662,775
662,628
651,763
936,954
581,812
681,596
966,725
577,881
957,725
609,960
813,919
513,863
969,833
762,506
727,802
717,675
574,617
868,821
806,811
986,797
602,701
516,505
710,610
857,795
978,612
898,703
673,671
631,968
857,968
601,539
855,755
782,905
577,727
593,951
801,840
661,779
500,725
593,981
840,928
824,779
979,928
927,979
936,930
990,742
947,798
706,532
899,730
941,720
736,861
581,622
508,514
800,928
762,702
676,900
980,808
544,570
922,709
662,939
827,986
769,766
687,932
574,874
618,539
712,576
762,842
617,781
965,621
824,771
712,773
629,820
983,820
840,801
710,743
934,911
641,948
863,818
712,816
575,966
549,796
704,583
728,757
602,513
500,972
992,566
659,645
741,557
953,903
653,887
922,797
661,668
878,863
588,630
738,754
686,569
512,774
878,902
795,549
679,964
689,599
699,733
964,662
705,623
965,666
969,849
704,578
584,577
629,747
781,842
960,736
665,974
875,668
620,922
979,563
914,515
957,608
661,740
541,813
769,545
809,736
644,505
736,660
992,853
607,976
710,898
986,822
574,759
541,521
793,531
888,531
686,525
576,965
581,949
871,606
601,977
717,757
595,504
595,560
756,656
970,922
876,923
739,691
663,729
564,710
513,993
705,659
584,762
924,517
977,827
849,512
600,620
977,605
629,664
970,702
620,566
800,650
947,690
629,772
782,992
605,619
593,945
954,837
968,722
536,778
661,601
914,621
801,994
520,794
820,845
904,814
665,960
934,720
549,761
851,631
681,916
567,944
615,696
560,760
782,946
791,827
667,980
631,836
567,970
710,611
840,985
957,909
560,984
800,941
730,681
992,845
794,635
831,781
800,761
600,629
602,748
860,625
660,835
689,882
827,637
983,961
979,693
728,523
936,508
611,539
574,518
585,862
847,584
815,827
581,607
659,897
716,924
971,973
662,754
965,868
704,613
914,719
793,604
897,853
860,921
710,810
603,767
897,949
710,786
970,857
941,806
576,899
840,507
878,812
641,502
901,626
948,906
589,596
880,735
552,788
948,697
914,894
631,969
607,672
695,830
513,664
633,652
795,839
978,579
986,935
794,552
663,525
695,779
862,744
633,939
705,784
806,982
795,765
573,605
558,943
617,905
723,807
835,654
968,771
663,503
979,737
871,652
600,743
797,542
787,909
990,818
934,701
868,859
905,793
914,844
936,939
750,550
544,1000
850,903
655,604
615,630
797,616
812,896
564,759
956,794
937,653
787,832
880,674
777,713
687,968
784,576
978,543
638,708
606,891
542,953
768,560
577,901
608,939
600,665
827,846
521,602
904,513
649,712
683,773
505,855
995,817
626,696
549,661
675,916
589,822
704,723
824,536
585,665
762,792
827,802
581,974
905,671
559,656
659,993
827,759
683,938
855,945
738,780
964,578
626,917
549,760
581,767
691,818
840,609
977,908
685,950
965,663
977,855
891,699
809,521
543,615
821,776
969,970
979,701
833,989
884,941
801,727
934,855
827,547
815,608
922,740
893,569
831,626
536,683
560,702
579,507
602,809
676,520
723,814
602,528
847,629
626,907
824,984
960,620
724,737
519,773
662,868
654,956
968,519
960,676
677,655
960,914
519,856
898,751
991,600
711,547
532,575
953,843
500,853
767,833
705,734
951,895
977,666
627,649
573,720
894,979
577,769
626,576
603,728
577,824
898,587
676,728
573,614
912,857
710,886
607,898
965,526
536,846
662,847
987,650
564,943
513,788
941,657
601,653
948,544
955,504
999,586
824,534
